player_id,player_name,position,orientation,archetype_key,archetype_name,minutes,latest_team_name,primary_league_name,raw_quality_rating,minutes_reliability,futbud_rating,role_rating_percentile,quality_status,quality_metric_count,pass_accuracy_pct_quality,duel_win_pct_quality,blocks_per90_quality,interceptions_per90_quality,tackles_per90_quality,dribbled_past_per90_quality,dribble_success_pct_quality,key_passes_per90_quality,assists_per90_quality,goals_per90_quality,shot_accuracy_pct_quality,fouls_drawn_per90_quality,shots_total_per90_quality
18870,David Brooks,M,wide,eight_ten_hybrid,8/10 Hybrid,1220.0,Bournemouth,Premier League,35.7,89.0,37.3,18.8,Poor,6,18.91891891891892,,,,,,27.927927927927925,60.36036036036037,66.66666666666666,7.207207207207207,21.62162162162162,,
18872,Lewis Cook,M,central,defensive_midfielder,Defensive Midfielder (DM / 6),905.0,Bournemouth,Premier League,72.9,86.7,69.9,89.8,Excellent,5,57.948717948717956,56.15384615384615,,99.48717948717949,70.76923076923077,,94.61538461538461,,,,,,
18883,Dominic Solanke,F,central,traditional_9,Traditional No. 9,1000.0,Tottenham,Premier League,45.7,87.4,46.2,42.1,Average,5,,56.038647342995176,,,,,,11.11111111111111,,31.88405797101449,98.55072463768117,,15.942028985507244
18895,Florian Lejeune,D,,stopper_cb,Stopper Center Back,3231.0,Rayo Vallecano,La Liga,55.9,100.0,55.9,68.7,Good,6,61.53846153846154,63.07692307692307,71.53846153846153,53.84615384615385,40.76923076923077,43.07692307692308,,,,,,,
18901,Sean Longstaff,M,central,attacking_midfielder,Attacking Midfielder (AM / 10),1046.0,Leeds,Premier League,51.8,87.7,51.6,60.2,Good,6,27.173913043478258,,,,,,5.434782608695652,81.52173913043478,55.434782608695656,78.26086956521739,11.41304347826087,,
18906,Ayoze Pérez,F,central,traditional_9,Traditional No. 9,1127.0,Villarreal,La Liga,62.6,88.3,61.2,73.6,Very Good,5,,45.893719806763286,,,,,,89.85507246376811,,64.73429951690821,88.64734299516908,,21.256038647342994
18929,Dwight McNeil,M,central,box_to_box_midfielder,Box-to-Box Midfielder (CM / 8),1189.0,Everton,Premier League,46.7,88.8,47.1,41.7,Average,7,64.39393939393939,25.757575757575758,,49.24242424242424,46.96969696969697,,80.68181818181817,,50.0,10.984848484848484,,,
18931,Chris Wood,F,central,traditional_9,Traditional No. 9,906.0,Nottingham Forest,Premier League,35.6,86.7,37.5,26.4,Below Average,5,,36.231884057971016,,,,,,9.66183574879227,,39.130434782608695,8.695652173913043,,75.84541062801932
18961,Dan Burn,D,,stopper_cb,Stopper Center Back,2209.0,Newcastle,Premier League,21.1,96.4,22.2,0.8,Poor,6,11.538461538461538,26.153846153846157,30.0,11.538461538461538,19.230769230769234,27.692307692307693,,,,,,,
18963,Lewis Dunk,D,,positional_cb,Positional Center Back,2844.0,Brighton,Premier League,48.7,100.0,48.7,47.0,Average,6,86.3849765258216,39.906103286384976,66.66666666666666,39.436619718309856,26.76056338028169,3.2863849765258237,,,,,,,
18964,Bernardo,D,,stopper_cb,Stopper Center Back,2318.0,1899 Hoffenheim,Bundesliga,64.4,97.2,64.0,87.0,Excellent,6,12.307692307692308,76.15384615384615,35.38461538461539,81.53846153846153,91.53846153846153,42.307692307692314,,,,,,,
18967,Leo Østigård,D,,positional_cb,Positional Center Back,2623.0,Genoa,Serie A,62.4,99.4,62.4,85.0,Excellent,6,46.478873239436616,84.50704225352112,72.30046948356808,50.70422535211267,45.539906103286384,72.7699530516432,,,,,,,
18970,Pascal Groß,M,central,attacking_midfielder,Attacking Midfielder (AM / 10),2254.0,Brighton,Premier League,52.3,96.7,52.2,62.4,Good,6,35.869565217391305,,,,,,53.80434782608695,77.17391304347827,47.82608695652174,16.304347826086957,84.78260869565217,,
18979,Viktor Gyökeres,F,central,traditional_9,Traditional No. 9,2254.0,Arsenal,Premier League,54.8,96.7,54.7,60.6,Good,5,,2.898550724637681,,,,,,40.09661835748793,,85.99033816425121,54.106280193236714,,34.54106280193236
19030,Matt O'Riley,M,central,attacking_midfielder,Attacking Midfielder (AM / 10),942.0,Brighton,Ligue 1,55.1,87.0,54.4,66.7,Good,6,59.78260869565217,,,,,,1.6304347826086956,55.434782608695656,64.13043478260869,80.43478260869566,60.86956521739131,,
19032,Ryan Sessegnon,D,,high_intensity_fullback,High-Intensity Fullback,1822.0,Fulham,Premier League,34.6,93.5,35.6,13.9,Poor,6,,2.8169014084507045,,71.83098591549296,46.478873239436616,,12.676056338028168,33.80281690140845,36.61971830985916,,,,
