player_id,player_name,season,position,primary_league_id,primary_league_name,latest_team_id,latest_team_name,minutes,appearances,provider_rating_avg,pass_accuracy_pct,goals,assists,shots_total,shots_on_target,passes_total,key_passes,tackles,blocks,interceptions,duels_total,duels_won,dribbles_attempted,dribbles_successful,dribbled_past,fouls_drawn,fouls_committed,offsides,yellow_cards,red_cards,goals_per90,assists_per90,shots_total_per90,shots_on_target_per90,passes_total_per90,key_passes_per90,tackles_per90,blocks_per90,interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempted_per90,dribbles_successful_per90,dribbled_past_per90,fouls_drawn_per90,fouls_committed_per90,offsides_per90,yellow_cards_per90,red_cards_per90,shot_accuracy_pct,duel_win_pct,dribble_success_pct,cluster,archetype_cluster
20589,Bryan Mbeumo,2025,F,39,Premier League,33,Manchester United,2621.0,33,6.861159862647845,79.02010050251256,11.0,3.0,59.0,32.0,796.0,47.0,25.0,1.0,8.0,265.0,86.0,54.0,18.0,14.0,28.0,23.0,7.0,4,0,0.3777184280808851,0.1030141167493323,2.0259442960702025,1.0988172453262115,27.333078977489507,1.6138878290728729,0.8584509729111025,0.0343380389164441,0.2747043113315529,9.099580312857688,2.953071346814193,1.8542541014879816,0.618084700495994,0.4807325448302175,0.961465089660435,0.7897748950782144,0.2403662724151087,0.1373521556657764,0.0,54.23728813559322,32.45283018867924,33.33333333333333,0,1
20634,Alexis Claude-Maurice,2025,F,78,Bundesliga,170,FC Augsburg,2107.0,29,6.98016136687233,84.40492476060192,5.0,4.0,58.0,26.0,731.0,33.0,41.0,1.0,8.0,306.0,144.0,82.0,44.0,18.0,42.0,23.0,1.0,3,0,0.2135738016136687,0.170859041290935,2.477456098718557,1.1105837683910773,31.22448979591837,1.4095870906502137,1.7513051732320837,0.0427147603227337,0.34171808258187,13.070716658756526,6.15092548647366,3.502610346464167,1.8794494542002849,0.7688656858092074,1.7940199335548173,0.982439487422876,0.0427147603227337,0.1281442809682012,0.0,44.82758620689656,47.05882352941176,53.65853658536586,0,0
20784,Franck Honorat,2025,F,78,Bundesliga,163,Borussia Mönchengladbach,1987.0,28,6.935782586814293,74.39446366782006,2.0,6.0,11.0,5.0,578.0,45.0,22.0,4.0,6.0,148.0,57.0,50.0,17.0,11.0,6.0,12.0,10.0,0,0,0.0905888273779567,0.2717664821338701,0.498238550578762,0.2264720684448918,26.18017111222949,2.0382486160040263,0.996477101157524,0.1811776547559134,0.2717664821338701,6.703573225968797,2.5817815802717665,2.264720684448918,0.7700050327126321,0.498238550578762,0.2717664821338701,0.5435329642677403,0.4529441368897836,0.0,0.0,45.45454545454545,38.51351351351352,34.0,0,1
21715,Wesley Saïd,2025,F,61,Ligue 1,116,Lens,2010.0,29,7.220199004975124,82.49641319942612,12.0,2.0,50.0,27.0,697.0,27.0,21.0,0.0,10.0,181.0,75.0,43.0,26.0,11.0,13.0,37.0,13.0,2,0,0.5373134328358209,0.0895522388059701,2.238805970149254,1.208955223880597,31.2089552238806,1.208955223880597,0.9402985074626866,0.0,0.4477611940298507,8.104477611940299,3.3582089552238803,1.9253731343283584,1.164179104477612,0.4925373134328358,0.582089552238806,1.656716417910448,0.582089552238806,0.0895522388059701,0.0,54.0,41.43646408839779,60.46511627906976,0,1
22171,Jean Victor Makengo,2025,F,61,Ligue 1,97,Lorient,1813.0,31,6.919360176503033,82.83185840707965,4.0,2.0,28.0,14.0,565.0,25.0,28.0,1.0,9.0,174.0,99.0,41.0,24.0,9.0,35.0,12.0,0.0,2,0,0.1985659128516271,0.0992829564258135,1.38996138996139,0.694980694980695,28.047435190292333,1.2410369553226697,1.38996138996139,0.0496414782129067,0.446773303916161,8.63761720904578,4.914506343077772,2.035300606729178,1.1913954771097628,0.446773303916161,1.7374517374517373,0.5956977385548814,0.0,0.0992829564258135,0.0,50.0,56.896551724137936,58.53658536585365,0,1
22842,Jean-Philippe Krasso,2025,F,61,Ligue 1,114,Paris FC,1099.0,25,6.579253867151956,71.76470588235294,2.0,2.0,24.0,10.0,256.0,24.0,13.0,1.0,1.0,203.0,78.0,48.0,18.0,9.0,19.0,20.0,11.0,0,0,0.1637852593266606,0.1637852593266606,1.9654231119199272,0.818926296633303,20.96451319381256,1.9654231119199272,1.064604185623294,0.0818926296633303,0.0818926296633303,16.62420382165605,6.387625113739764,3.930846223839856,1.4740673339399455,0.7370336669699727,1.5559599636032757,1.637852593266606,0.9008189262966332,0.0,0.0,41.66666666666667,38.42364532019704,37.5,0,0
25635,Jonas Hofmann,2025,F,78,Bundesliga,168,Bayer Leverkusen,1015.0,23,6.910541871921182,83.54661791590493,2.0,2.0,17.0,7.0,547.0,16.0,13.0,0.0,2.0,60.0,33.0,11.0,7.0,7.0,9.0,5.0,2.0,3,0,0.1773399014778325,0.1773399014778325,1.5073891625615763,0.6206896551724138,48.5024630541872,1.41871921182266,1.1527093596059113,0.0,0.1773399014778325,5.320197044334975,2.9261083743842367,0.9753694581280788,0.6206896551724138,0.6206896551724138,0.7980295566502463,0.4433497536945813,0.1773399014778325,0.2660098522167488,0.0,41.17647058823529,55.00000000000001,63.63636363636363,0,1
30531,Jérémie Boga,2025,F,135,Serie A,496,Juventus,1329.0,29,7.001506024096385,82.9683698296837,6.0,2.0,30.0,17.0,411.0,28.0,11.0,0.0,5.0,134.0,68.0,68.0,35.0,5.0,19.0,5.0,1.0,1,0,0.4063205417607223,0.1354401805869074,2.031602708803612,1.1512415349887133,27.83295711060948,1.8961625282167045,0.744920993227991,0.0,0.3386004514672686,9.074492099322798,4.604966139954853,4.604966139954853,2.37020316027088,0.3386004514672686,1.2866817155756207,0.3386004514672686,0.0677200902934537,0.0677200902934537,0.0,56.66666666666666,50.74626865671642,51.47058823529412,0,0
30537,Domenico Berardi,2025,F,135,Serie A,488,Sassuolo,1970.0,26,7.06766497461929,76.97063369397218,8.0,4.0,35.0,21.0,647.0,33.0,26.0,0.0,24.0,184.0,82.0,25.0,10.0,21.0,34.0,31.0,12.0,2,1,0.3654822335025381,0.182741116751269,1.598984771573604,0.9593908629441624,29.55837563451777,1.5076142131979695,1.1878172588832487,0.0,1.0964467005076142,8.406091370558375,3.746192893401015,1.1421319796954317,0.4568527918781725,0.9593908629441624,1.5532994923857868,1.4162436548223352,0.5482233502538071,0.0913705583756345,0.0456852791878172,60.0,44.56521739130434,40.0,0,1
30543,Giacomo Raspadori,2025,F,135,Serie A,499,Atalanta,1042.0,25,6.744817658349328,80.25641025641026,3.0,2.0,23.0,14.0,390.0,21.0,10.0,0.0,1.0,97.0,39.0,19.0,6.0,5.0,13.0,10.0,3.0,1,0,0.2591170825335893,0.1727447216890595,1.986564299424184,1.2092130518234163,33.685220729366605,1.813819577735125,0.8637236084452974,0.0,0.0863723608445297,8.378119001919385,3.3685220729366603,1.6410748560460653,0.5182341650671786,0.4318618042226487,1.1228406909788866,0.8637236084452974,0.2591170825335893,0.0863723608445297,0.0,60.86956521739131,40.20618556701031,31.57894736842105,0,1
